n
"(:Board {name: ""Доска""})"
"(:Chalk {name: ""Мел""})"
"(:Door {name: ""Дверь""})"
"(:Window {name: ""Окно 1""})"
"(:Window {name: ""Окно 2""})"
"(:Window {name: ""Окно 3""})"
"(:Table {name: ""Стол 1""})"
"(:Table {name: ""Стол 2""})"
"(:Table {name: ""Стол 3""})"
"(:Table {name: ""Стол 4""})"
"(:Table {name: ""Стол 5""})"
"(:Table {name: ""Стол 6""})"
"(:Table {name: ""Стол 7""})"
"(:Table {name: ""Стол 8""})"
"(:Table {name: ""Стол 9""})"
"(:Table {name: ""Стол 10""})"
"(:Chair {name: ""Стул 1""})"
"(:Chair {name: ""Стул 2""})"
"(:Chair {name: ""Стул 3""})"
"(:Chair {name: ""Стул 4""})"
"(:Chair {name: ""Стул 5""})"
"(:Chair {name: ""Стул 6""})"
"(:Chair {name: ""Стул 7""})"
"(:Chair {name: ""Стул 8""})"
"(:Chair {name: ""Стул 9""})"
"(:Chair {name: ""Стул 10""})"
"(:Computer {name: ""Компьютер 1""})"
"(:Computer {name: ""Компьютер 2""})"
"(:Computer {name: ""Компьютер 3""})"
"(:Computer {name: ""Компьютер 4""})"
"(:Computer {name: ""Компьютер 5""})"
"(:Computer {name: ""Компьютер 6""})"
"(:Computer {name: ""Компьютер 7""})"
"(:Computer {name: ""Компьютер 8""})"
"(:Computer {name: ""Компьютер 9""})"
"(:Computer {name: ""Компьютер 10""})"
